PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Taxa de desemprego registado no IEFP do curso;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados;TaxaDesempregoRegistadoCurso
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Estudos Clássicos;9133;Licenciatura;6;;
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Estudos Europeus;9135;Licenciatura;113;13;11,5
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Filosofia;9139;Licenciatura;40;4;10
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Geografia;9143;Licenciatura;176;22;12,5
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;História;9181;Licenciatura;123;19;15,4
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;História da Arte;9182;Licenciatura;43;5;11,6
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Jornalismo;9191;Licenciatura;183;28;15,3
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Arqueologia e História;9677;Licenciatura;109;12;11
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Ciência da Informação, Arquivística e Biblioteconómica;9695;Licenciatura;89;16;17,9
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Línguas Modernas;9779;Licenciatura;241;5;2
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Turismo, Lazer e Património;9810;Licenciatura;165;13;7,8
Universidade de Coimbra;0500;Faculdade de Medicina;0506;Publico;Universitario;Medicina Dentária;9548;MestradoIntegrado;151;2;1,3
Universidade de Coimbra;0500;Faculdade de Medicina;0506;Publico;Universitario;Medicina;9813;MestradoIntegrado;1042;0;0
Universidade de Coimbra;0500;Faculdade de Psicologia e de Ciências da Educação;0507;Publico;Universitario;Ciências da Educação;9026;Licenciatura;230;11;4,7
Universidade de Coimbra;0500;Faculdade de Psicologia e de Ciências da Educação;0507;Publico;Universitario;Serviço Social;9238;Licenciatura;139;31;22,3
Universidade de Coimbra;0500;Faculdade de Psicologia e de Ciências da Educação;0507;Publico;Universitario;Psicologia;9555;MestradoIntegrado;515;88;17
Universidade de Coimbra;0500;Faculdade de Ciências do Desporto e Educação Física;0508;Publico;Universitario;Ciências do Desporto;9707;Licenciatura;358;23;6,4
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;61;10;16,3
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Biologia Humana;8262;Licenciatura;21;;
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Agronomia;9003;Licenciatura;121;10;8,2
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Biologia;9011;Licenciatura;139;16;11,5
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Bioquímica;9015;Licenciatura;81;11;13,5
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Biotecnologia;9016;Licenciatura;58;6;10,3
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Engenharia Informática;9119;Licenciatura;74;3;4
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Geografia;9143;Licenciatura;34;5;14,7
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Geologia;9146;Licenciatura;0;;
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Matemática Aplicada;9385;Licenciatura;7;;
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Ciências do Desporto;9707;Licenciatura;123;12;9,7
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Engenharia Mecatrónica;9751;Licenciatura;54;5;9,2
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Ciência e Tecnologia Animal;9818;Licenciatura;67;4;5,9
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Reabilitação Psicomotora;9841;Licenciatura;147;17;11,5
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Medicina Veterinária;9847;MestradoIntegrado;98;2;2
Universidade de Évora;0600;Escola de Ciências e Tecnologia;0602;Publico;Universitario;Engenharia de Energias Renováveis;9910;Licenciatura;41;5;12,1
Universidade de Évora;0600;Escola de Artes;0603;Publico;Universitario;Design;9069;Licenciatura;79;14;17,7
Universidade de Évora;0600;Escola de Artes;0603;Publico;Universitario;Música;9214;Licenciatura;114;5;4,3
Universidade de Évora;0600;Escola de Artes;0603;Publico;Universitario;Teatro;9243;Licenciatura;28;;
Universidade de Évora;0600;Escola de Artes;0603;Publico;Universitario;Arquitectura;9257;MestradoIntegrado;45;8;17,7
Universidade de Évora;0600;Escola de Artes;0603;Publico;Universitario;Artes Visuais - Multimédia;9684;Licenciatura;78;15;19,2
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;História e Arqueologia;8251;Licenciatura;45;6;13,3
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Ciências da Educação;9026;Licenciatura;67;12;17,9
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Ciências da Informação e da Documentação;9039;Licenciatura;43;12;27,9
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Economia;9081;Licenciatura;126;17;13,4
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Gestão;9147;Licenciatura;171;20;11,6
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Psicologia;9219;Licenciatura;170;10;5,8
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Relações Internacionais;9229;Licenciatura;102;10;9,8
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Sociologia;9240;Licenciatura;106;23;21,6
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Turismo;9254;Licenciatura;136;22;16,1
Universidade de Évora;0600;Escola de Ciências Sociais;0604;Publico;Universitario;Educação Básica;9853;Licenciatura;100;6;6
Universidade Nova de Lisboa;0900;Faculdade de Ciências Médicas;0901;Publico;Universitario;Medicina;9813;MestradoIntegrado;802;0;0
Universidade Nova de Lisboa;0900;Faculdade de Ciências Sociais e Humanas;0902;Publico;Universitario;Arqueologia;9006;Licenciatura;88;9;10,2
