;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Vizela;0;3;2;0;0;16;9;0;0;184;23;0;0;3;6;150;13;0;0;4;2;0;38;0;0;0;0;0;2;1;21;0;0;0;0;12;1;7;0;0;0;0;4;1;0;3;0;0;153;2;0;0;0;0;0;0;0;1;0;0;0;1;11;4;0;9;0;42;10
Castelo de Paiva;1;1;0;0;0;52;0;0;0;11;14;0;0;3;0;17;0;0;0;1;0;0;6;0;1;0;0;0;2;0;13;0;0;10;0;18;0;1;1;1;1;0;14;1;0;1;0;0;151;0;0;4;0;0;0;0;0;0;1;0;0;0;0;5;0;0;5;22;18
Desconhecido;2;5;366;0;0;38;2;0;0;203;0;1;0;1;4;2;6;0;0;106;0;1;0;0;0;0;0;1;0;4;1257;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;151;0;102;0;197;1;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0
Baião;1;0;0;0;0;25;1;0;0;6;29;2;0;2;0;28;14;0;0;0;0;0;8;0;3;0;0;2;7;2;10;0;0;18;0;20;0;4;0;0;0;1;7;0;0;3;0;0;149;1;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;2;4;68;9
Mirandela;0;0;2;0;0;13;0;0;0;31;174;0;0;11;3;123;28;0;0;7;0;4;0;0;7;0;0;0;2;3;44;0;4;0;0;11;0;141;0;1;0;0;6;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;104;4
Caminha;0;0;5;0;1;21;15;0;0;63;7;4;0;1;0;37;9;0;0;1;0;1;0;0;0;0;0;0;0;1;24;0;0;13;0;13;4;1;0;2;2;1;3;4;0;5;0;0;133;1;0;0;0;0;0;0;0;0;4;0;0;16;139;3;12;4;0;21;1
Cinfães;1;1;1;0;0;11;2;0;0;8;11;0;0;4;0;16;11;0;0;1;0;1;3;0;2;0;0;1;7;0;17;0;0;7;0;17;0;0;0;0;1;0;12;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;17;27
Estarreja;0;37;1;0;1;258;1;0;2;13;5;0;2;8;0;84;26;0;0;4;0;3;0;0;24;0;0;0;1;7;41;0;0;8;0;3;0;1;0;1;24;2;5;0;0;1;0;0;122;0;0;5;0;0;4;0;0;0;2;0;0;0;0;0;0;0;13;7;24
Monção;0;3;4;0;0;24;4;0;0;70;19;1;1;0;0;31;4;0;0;0;0;0;3;0;1;0;0;0;1;8;15;0;0;11;0;5;4;0;0;2;0;0;5;0;0;15;0;0;119;2;0;0;0;0;0;1;0;0;1;0;0;45;48;0;1;1;1;27;1
Celorico de Basto;0;0;2;0;0;8;1;0;0;56;61;0;1;1;4;278;10;0;0;1;11;2;26;0;2;1;0;0;1;1;18;0;0;6;0;9;0;8;0;1;0;0;2;2;0;2;1;0;117;0;0;0;1;0;0;0;0;0;0;0;0;2;4;3;0;5;1;206;0
Ponta Delgada;0;1;34;1;44;14;1;0;4;27;9;5;11;10;0;129;11;1;0;13;0;11;0;2;6;0;1;1;0;6;470;0;0;117;0;1;1;3;0;22;0;4;0;1;1181;5;4;1;116;2;2;0;3;0;1;3;0;0;2;0;0;0;6;0;0;0;0;4;7
Leiria;6;1;86;2;1;148;0;0;6;18;7;93;13;40;0;711;83;2;0;76;0;29;2;0;11;0;0;1;0;2764;1025;0;0;1;31;7;0;5;0;54;0;1;6;64;4;0;18;0;112;0;27;0;28;0;4;2;0;5;46;0;0;0;0;1;0;0;0;11;24
Ílhavo;1;64;4;0;0;680;4;0;0;22;6;4;4;8;0;350;28;0;0;1;0;2;2;3;11;0;0;2;0;8;84;0;0;2;0;3;1;1;0;15;9;1;9;6;0;0;4;0;111;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;2;6;44
Figueira da Foz;1;12;13;1;0;170;0;0;1;13;6;7;8;12;0;984;35;0;0;12;0;13;0;0;10;1;0;0;0;130;199;0;0;1;0;3;0;2;0;13;1;6;0;6;2;0;2;1;102;0;15;0;9;0;10;2;0;3;14;0;0;0;1;1;0;0;4;7;23
Vila Verde;1;0;2;0;0;21;185;0;0;594;22;2;0;2;1;149;13;1;0;2;4;3;4;1;1;0;0;0;0;4;33;0;0;4;0;7;6;4;0;0;0;0;10;0;0;27;2;0;102;3;0;0;1;0;0;0;0;0;3;0;0;8;106;2;0;19;1;28;6
Águeda;0;190;4;0;0;409;1;0;0;16;2;0;0;11;0;335;43;0;0;8;0;7;1;0;25;0;0;1;1;17;117;1;0;1;0;5;0;2;0;4;12;3;8;3;0;0;3;0;101;0;0;0;1;0;4;2;0;0;3;0;0;0;4;3;0;1;1;16;69
Peso da Régua;1;1;1;0;0;9;0;0;0;16;63;0;0;5;3;49;12;0;0;0;0;0;3;0;1;0;0;0;21;4;25;0;0;4;0;3;0;11;0;0;1;3;8;0;1;1;0;0;98;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;128;16
Albergaria-a-Velha;0;42;3;2;0;226;1;0;0;9;0;3;0;3;0;96;46;0;0;3;0;1;2;0;8;0;0;0;0;5;26;0;0;1;0;2;0;3;0;2;15;0;1;1;1;0;1;0;95;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;7;25
Cabeceiras de Basto;0;0;0;0;0;8;5;0;0;88;40;1;0;1;3;160;5;0;0;0;28;3;8;0;2;0;0;0;0;7;20;0;0;3;0;3;0;1;0;0;1;0;8;0;0;0;0;0;94;5;0;0;0;0;1;0;0;0;0;0;0;0;6;1;0;5;1;66;2
Guarda;1;0;18;1;0;68;1;0;0;10;5;5;6;61;0;233;324;1;0;11;0;9;1;1;717;0;0;15;0;11;241;0;0;0;0;1;0;0;0;17;0;0;7;1;1;0;1;0;87;0;1;0;2;0;11;1;0;0;0;0;0;0;2;0;0;1;1;32;61
Santa Cruz;1;0;7;1;2;21;1;0;0;20;5;1;3;7;0;56;17;0;0;5;0;7;0;524;4;0;0;0;0;11;253;0;0;0;0;2;0;0;4;8;0;0;2;1;1;0;1;0;82;0;2;0;1;0;0;7;0;0;3;0;0;0;0;1;0;0;0;6;3
Angra do Heroísmo;0;0;28;0;314;31;1;0;5;16;4;4;3;3;0;53;20;0;0;6;0;11;0;1;0;1;0;0;0;12;325;0;0;5;0;2;0;5;0;8;1;0;0;4;194;0;1;0;80;0;3;0;5;0;1;10;0;0;3;0;0;0;0;1;0;0;1;10;1
Valpaços;0;0;2;0;0;9;0;0;0;18;92;0;0;5;14;30;9;0;0;0;0;1;3;0;0;0;0;0;0;1;17;0;1;5;0;2;0;31;1;1;0;0;4;0;0;0;0;0;74;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;72;5
Valença;0;0;0;0;0;4;5;0;0;50;6;1;1;0;0;30;10;0;0;4;0;1;0;0;1;0;0;0;0;2;17;0;0;2;0;7;5;2;0;1;0;0;2;0;0;11;0;0;73;0;0;0;1;0;1;0;0;0;0;0;0;77;46;2;4;0;0;9;2
Arcos de Valdevez;0;0;1;0;0;8;11;0;0;144;16;0;0;1;0;26;3;0;0;1;0;1;0;0;1;0;0;0;0;3;18;0;0;4;0;2;0;0;0;0;0;0;4;0;1;17;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;8;99;1;2;2;0;5;1
Tondela;0;5;4;0;0;80;1;0;1;1;1;3;1;8;0;164;23;0;0;2;0;1;0;0;10;0;0;0;5;14;56;0;0;0;0;3;0;1;0;3;1;1;1;1;3;0;3;0;65;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;10;250
Resende;0;1;1;0;0;11;0;0;1;4;21;0;0;0;1;11;13;0;0;0;0;0;1;0;3;0;0;0;28;2;4;0;0;3;0;2;1;1;1;0;0;0;4;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;46;27
Macedo de Cavaleiros;0;1;3;0;0;13;2;0;0;24;240;0;0;0;2;67;22;0;0;3;0;0;0;0;3;0;0;0;0;1;28;0;9;2;0;3;0;27;0;1;0;0;3;0;0;0;1;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;49;13
Vagos;1;28;2;0;0;264;1;0;2;11;2;0;3;2;0;121;26;0;0;2;1;2;0;0;6;0;0;0;0;13;33;0;0;6;0;3;0;1;0;1;8;1;3;2;1;2;1;0;58;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;6;16
Póvoa de Lanhoso;0;0;2;1;0;15;36;0;1;335;18;2;0;0;1;255;6;0;0;2;7;3;2;0;2;0;0;0;0;4;20;0;0;2;0;4;0;2;0;0;0;0;10;1;0;4;1;0;56;4;0;0;1;0;0;1;0;0;0;0;0;1;29;3;0;9;0;20;4
