;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Chamusca;5;0;4;0;0;0;7;0;0;1;0;0;1;1;7;0;27;3;1;22;0;0;0;0;0;0;0;0;19;50;0;0;0;0;0;0;0;0;0;0;0;8;0;0;3;0;2;3;0;35;0;0;0;0;6;0;0;0;0;0;0;2;1
Chaves;1;0;6;1;3;0;41;0;0;1;89;163;1;2;2;83;126;32;0;4;1;2;3;0;5;0;2;2;4;85;3;0;11;2;84;0;2;0;3;4;0;2;1;0;0;0;294;1;0;1;1;0;0;2;1;1;1;4;0;3;15;133;11
Cinfães;0;2;0;0;0;0;14;1;0;0;10;14;0;0;4;1;28;9;1;1;0;0;4;0;3;0;0;4;2;13;10;0;11;0;1;0;0;0;1;7;0;0;0;0;1;0;120;0;0;1;1;0;0;1;0;0;0;1;0;0;17;12;33
Coimbra;1;3;13;3;0;0;122;0;0;2;24;11;18;73;12;0;7 040;44;0;37;0;18;1;1;10;0;3;3;29;592;1;0;9;0;0;0;33;21;40;5;0;4;7;1;4;0;256;3;0;5;1;3;0;4;8;0;1;7;0;0;6;26;61
Condeixa-a-Nova;0;1;0;0;0;0;15;0;0;0;1;0;4;2;6;0;602;3;0;2;0;0;1;0;1;0;1;1;13;40;0;0;1;0;0;0;4;4;6;0;0;2;1;0;1;0;18;0;0;1;0;0;0;0;2;0;0;0;0;0;1;5;7
Constância;4;0;3;0;0;0;1;0;0;1;1;0;1;0;7;0;20;11;1;3;0;1;0;0;1;0;0;0;6;30;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;7;0;0;0;0;15;0;0;0;0;0;0;0;2
Coruche;1;0;38;0;0;0;4;0;0;1;0;1;2;5;3;0;25;5;1;39;0;5;0;0;0;0;1;0;12;204;0;0;1;0;1;0;7;0;0;0;0;0;0;0;5;2;0;2;0;73;1;6;0;1;2;0;1;0;0;0;0;0;1
Corvo;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Covilhã;0;2;17;0;0;0;28;1;0;1;17;4;0;12;208;0;109;940;1;23;0;6;1;0;48;0;24;1;6;210;1;0;1;0;0;0;10;0;0;0;0;8;0;1;13;0;44;2;0;1;2;2;0;0;1;0;0;0;0;0;3;13;18
Crato;0;0;1;0;0;0;4;0;0;0;0;0;0;0;6;0;3;3;1;6;0;0;0;0;1;0;0;0;2;23;0;0;0;0;0;0;0;0;0;0;0;2;0;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cuba;1;0;1;0;0;0;0;0;0;68;0;0;0;0;0;0;1;0;2;19;0;10;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Desconhecido;3;1;1;0;0;0;43;2;0;0;3;0;0;2;1;0;2;0;0;67;0;3;0;0;37;0;2;0;1;76;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;12;11;0;0;0;0;0;1;0;0;0;0;0;0
Elvas;1;1;24;0;1;0;3;0;0;6;0;1;1;3;25;0;20;13;101;131;0;17;0;0;2;0;3;0;3;217;0;0;0;0;0;0;9;0;2;0;0;2;0;0;70;0;4;6;0;7;0;4;0;0;1;0;0;0;0;0;0;1;0
