,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2015 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Resultados,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
0504,9819,Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,L1,34,34,121.8,0
0504,9832,Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,L1,35,35,138.3,0
0505,8393,Universidade de Coimbra - Faculdade de Letras,Português,L1,40,28,97.0,12
0505,9006,Universidade de Coimbra - Faculdade de Letras,Arqueologia,L1,25,25,123.0,0
0505,9132,Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,L1,35,35,130.0,0
0505,9133,Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,L1,20,20,108.0,0
0505,9135,Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,L1,33,33,133.5,0
0505,9139,Universidade de Coimbra - Faculdade de Letras,Filosofia,L1,27,26,101.0,1
0505,9143,Universidade de Coimbra - Faculdade de Letras,Geografia,L1,56,48,99.0,8
0505,9181,Universidade de Coimbra - Faculdade de Letras,História,L1,54,54,111.0,0
0505,9182,Universidade de Coimbra - Faculdade de Letras,História da Arte,L1,25,25,116.0,0
0505,9694,Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,L1,27,30,116.0,0
0505,9773,Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,L1,50,50,154.0,0
0505,9779,Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,L1,82,85,128.5,0
0505,L109,Universidade de Coimbra - Faculdade de Letras,"Turismo, Território e Patrimónios",L1,40,40,138.0,0
0506,9548,Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,MI,42,42,178.3,0
0506,9813,Universidade de Coimbra - Faculdade de Medicina,Medicina,MI,255,256,181.3,0
0507,9026,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,70,70,121.0,0
0507,9238,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,L1,32,32,131.5,0
0507,9555,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,MI,130,130,151.8,0
0508,8368,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto (regime pós-laboral),L1,25,27,95.0,0
0508,9707,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,L1,95,98,130.6,0
0602,8258,Universidade de Évora - Escola de Ciências e Tecnologia,Arquitetura Paisagista,L1,21,11,101.0,10
0602,8262,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,L1,20,20,120.0,0
0602,9003,Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,L1,40,28,95.0,12
0602,9011,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,L1,40,40,116.1,0
0602,9015,Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,L1,35,35,111.3,0
0602,9016,Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,L1,35,26,104.1,9
0602,9119,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,L1,40,40,121.9,0
0602,9143,Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,L1,20,10,98.0,10
0602,9146,Universidade de Évora - Escola de Ciências e Tecnologia,Geologia,L1,20,5,107.1,15
0602,9210,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,30,19,112.3,11
0602,9223,Universidade de Évora - Escola de Ciências e Tecnologia,Química,L1,20,1,122.1,19
0602,9707,Universidade de Évora - Escola de Ciências e Tecnologia,Ciências do Desporto,L1,40,40,126.6,0
0602,9751,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,L1,29,16,108.2,13
0602,9818,Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,L1,38,38,115.4,0
0602,9841,Universidade de Évora - Escola de Ciências e Tecnologia,Reabilitação Psicomotora,L1,27,28,123.7,0
0602,9847,Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,MI,50,50,154.0,0
0602,9910,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,L1,20,1,131.8,19
0603,9069,Universidade de Évora - Escola de Artes,Design,L1,30,30,108.8,0
0603,9243,Universidade de Évora - Escola de Artes,Teatro,L1,20,21,110.6,0
0603,9257,Universidade de Évora - Escola de Artes,Arquitetura,MI,55,33,108.0,22
0603,9684,Universidade de Évora - Escola de Artes,Artes Visuais - Multimédia,L1,40,39,110.1,1
0604,8251,Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,L1,20,20,112.3,0
0604,9026,Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,L1,22,20,95.0,2
0604,9081,Universidade de Évora - Escola de Ciências Sociais,Economia,L1,37,38,118.9,0
0604,9147,Universidade de Évora - Escola de Ciências Sociais,Gestão,L1,65,66,134.3,0
0604,9219,Universidade de Évora - Escola de Ciências Sociais,Psicologia,L1,45,46,140.6,0
0604,9229,Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,L1,55,62,125.4,0
0604,9240,Universidade de Évora - Escola de Ciências Sociais,Sociologia,L1,30,32,123.7,0
0604,9254,Universidade de Évora - Escola de Ciências Sociais,Turismo,L1,27,28,126.3,0
0604,9853,Universidade de Évora - Escola de Ciências Sociais,Educação Básica,L1,20,21,121.5,0
0604,L047,Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,L1,35,37,116.5,0
0901,9813,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,MI,231,231,179.2,0
0902,8109,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),L1,25,25,107.5,0
0902,9006,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,L1,30,31,117.5,0
0902,9020,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,L1,81,81,165.0,0
0902,9023,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,L1,95,96,167.5,0
0902,9040,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,L1,20,20,116.0,0
0902,9046,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,L1,45,45,123.0,0
0902,9139,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,L1,25,25,112.0,0
0902,9145,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,L1,62,65,125.0,0
0902,9181,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,L1,45,45,141.0,0
0902,9182,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,L1,40,40,125.0,0
0902,9204,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,"Línguas, Literaturas e Culturas",L1,94,95,139.5,0
0902,9240,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,55,56,133.5,0
0902,9252,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,L1,60,64,144.5,0
0902,9448,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,L1,48,48,122.0,0
0902,9917,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,L1,20,19,111.0,1
0903,8036,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,L1,25,26,133.6,0
0903,8334,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,MI,55,55,132.8,0
0903,9015,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,L1,100,100,145.6,0
0903,9116,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,L1,20,19,108.8,1
0903,9209,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,L1,30,30,136.2,0
0903,9224,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,L1,25,25,132.2,0
0903,9348,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,L1,70,70,158.6,0
0903,9359,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,64,64,169.2,0
0903,9360,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,60,31,110.8,29
0903,9363,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,MI,25,25,128.6,0
0903,9367,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,156,156,130.4,0
0903,9368,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,25,25,144.4,0
0903,9369,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,85,85,150.6,0
0903,9370,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Bioquímica,Mi,75,75,129.0,0
0903,9508,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,65,65,117.8,0
0903,9509,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,MI,60,60,147.0,0
0903,G005,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,MI,170,170,146.8,0
0904,9081,Universidade Nova de Lisboa - Faculdade de Economia,Economia,L1,210,210,171.5,0
0904,9147,Universidade Nova de Lisboa - Faculdade de Economia,Gestão,L1,210,210,173.0,0
0906,8259,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,L1,40,40,149.1,0
0906,9155,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,L1,60,60,156.4,0
0911,9078,Universidade Nova de Lisboa - Faculdade de Direito,Direito,L1,100,100,159.3,0
1000,8005,Universidade do Minho,Marketing (regime pós-laboral),L1,50,53,137.0,0
1000,8090,Universidade do Minho,Engenharia Têxtil (regime pós-laboral),MI,30,0,,30
1000,8183,Universidade do Minho,Geografia e Planeamento,L1,40,40,116.2,0
1000,8184,Universidade do Minho,Optometria e Ciências da Visão,L1,60,56,115.4,4
1000,8358,Universidade do Minho,Direito (regime pós-laboral),L1,16,16,157.2,0
1000,8427,Universidade do Minho,Educação (regime pós-laboral),L1,25,19,103.6,6
1000,8433,Universidade do Minho,Negócios Internacionais (regime pós-laboral),L1,28,29,126.0,0
1000,8494,Universidade do Minho,Design de Produto,L1,35,24,116.6,11
1000,9002,Universidade do Minho,Administração Pública,L1,41,41,142.2,0
1000,9006,Universidade do Minho,Arqueologia,L1,20,20,115.4,0
1000,9015,Universidade do Minho,Bioquímica,L1,65,65,157.8,0
1000,9019,Universidade do Minho,Ciência Política,L1,30,30,142.4,0
1000,9023,Universidade do Minho,Ciências da Comunicação,L1,67,67,158.6,0
1000,9078,Universidade do Minho,Direito,L1,110,111,161.6,0
1000,9081,Universidade do Minho,Economia,L1,79,79,163.6,0
1000,9134,Universidade do Minho,Estudos Culturais,L1,20,20,125.0,0
1000,9138,Universidade do Minho,Estudos Portugueses e Lusófonos,L1,35,18,108.0,17
1000,9139,Universidade do Minho,Filosofia,L1,25,13,106.8,12
1000,9141,Universidade do Minho,Física,L1,20,20,116.2,0
1000,9146,Universidade do Minho,Geologia,L1,25,21,101.6,4
1000,9147,Universidade do Minho,Gestão,L1,73,73,163.0,0
1000,9181,Universidade do Minho,História,L1,35,35,122.0,0
1000,9192,Universidade do Minho,Línguas Aplicadas,L1,45,45,149.8,0
1000,9193,Universidade do Minho,Línguas e Culturas Orientais,L1,30,25,126.6,5
1000,9195,Universidade do Minho,Línguas e Literaturas Europeias,L1,59,60,134.6,0
1000,9209,Universidade do Minho,Matemática,L1,26,26,111.4,0
1000,9223,Universidade do Minho,Química,L1,20,12,111.6,8
1000,9229,Universidade do Minho,Relações Internacionais,L1,65,65,150.4,0
1000,9240,Universidade do Minho,Sociologia,L1,57,57,132.8,0
1000,9243,Universidade do Minho,Teatro,L1,25,25,128.4,0
1000,9257,Universidade do Minho,Arquitetura,MI,56,54,117.8,2
1000,9353,Universidade do Minho,Educação,L1,47,47,119.2,0
1000,9358,Universidade do Minho,Engenharia Biológica,MI,50,34,122.6,16
1000,9359,Universidade do Minho,Engenharia Biomédica,MI,65,65,170.2,0
1000,9360,Universidade do Minho,Engenharia Civil,MI,40,13,118.2,27
1000,9363,Universidade do Minho,Engenharia de Materiais,MI,22,22,136.2,0
1000,9364,Universidade do Minho,Engenharia de Polímeros,MI,32,31,108.2,1
1000,9366,Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,MI,80,80,129.4,0
1000,9368,Universidade do Minho,Engenharia Física,MI,25,25,130.4,0
1000,9369,Universidade do Minho,Engenharia Mecânica,MI,80,80,153.0,0
1000,9371,Universidade do Minho,Engenharia Têxtil,MI,10,10,134.6,0
1000,9379,Universidade do Minho,Ciências do Ambiente,L1,35,35,118.6,0
1000,9381,Universidade do Minho,Estatística Aplicada,L1,20,20,124.4,0
1000,9397,Universidade do Minho,Ciências da Computação,L1,52,52,133.2,0
1000,9499,Universidade do Minho,Design e Marketing de Moda,L1,30,30,153.0,0
1000,9509,Universidade do Minho,Engenharia e Gestão Industrial,MI,50,50,165.6,0
1000,9555,Universidade do Minho,Psicologia,MI,67,67,141.6,0
1000,9688,Universidade do Minho,Biologia Aplicada,L1,53,53,143.2,0
1000,9689,Universidade do Minho,Biologia-Geologia,L1,60,60,107.6,0
1000,9813,Universidade do Minho,Medicina,MI,120,120,183.2,0
1000,9853,Universidade do Minho,Educação Básica,L1,48,49,128.8,0
1000,9869,Universidade do Minho,Contabilidade (regime pós-laboral),L1,41,41,118.6,0
1000,G001,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,MI,79,79,141.6,0
1000,G002,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação (regime pós-laboral),MI,55,55,107.2,0
1000,G005,Universidade do Minho,Engenharia Informática,MI,140,141,159.0,0
1000,G007,Universidade do Minho,Engenharia de Telecomunicações e Informática,MI,35,23,109.6,12
1101,9554,Universidade do Porto - Faculdade de Ciências da Nutrição e Alimentação,Ciências da Nutrição,L1,70,70,159.3,0
