PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Percentagem de recém-diplomados do curso que estão registados no IEFP como desempregados;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2016);TaxaDesempregoRegistadoCurso
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Psicologia;9219;Licenciatura;311;16;5,1
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Informática;9185;Licenciatura;0;;
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão do Desporto;9162;Licenciatura;149;12,5;8,3
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;107;12;11,2
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Marketing;9156;Licenciatura;86;8,5;9,8
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Empresas;9152;Licenciatura;175;16,5;9,4
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Criminologia;9066;Licenciatura;362;31,5;8,7
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Ciências da Comunicação;9023;Licenciatura;132;21;15,9
ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;23;;
ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;45;1;2,2
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão de Processos e Operações Empresariais;L046;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão Comercial;L021;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Informática de Gestão;9186;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão Turística;9177;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;25;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Engenharia da Segurança do Trabalho;8187;Licenciatura;23;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Design Global;L125;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Ciências do Desporto e da Atividade Física;L076;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão do Turismo e da Hospitalidade;L061;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Desenvolvimento de Jogos e de Aplicações;L044;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Turismo;9254;Licenciatura;179;8,5;4,7
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Psicologia;9219;Licenciatura;5;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Marketing, Publicidade e Relações Públicas;9208;Licenciatura;230;7;3
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Marketing e Publicidade;9206;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Marketing;9205;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Informática de Gestão;9186;Licenciatura;62;1;1,6
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão do Desporto;9162;Licenciatura;3;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão de Recursos Humanos e Organização Estratégica;9158;Licenciatura;117;8;6,8
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão de Empresas;9152;Licenciatura;280;10,5;3,7
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão;9147;Licenciatura;3;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Engenharia Informática;9119;Licenciatura;9;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Design;9069;Licenciatura;14;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Ciências da Comunicação;9023;Licenciatura;17;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Fotografia e Cultura Visual;8134;Licenciatura;0;;
Escola Superior de Tecnologia e Gestão Jean Piaget;4309;Escola Superior de Tecnologia e Gestão Jean Piaget;4309;Privado;Politecnico;Engenharia de Petróleos - Refinação;8301;Licenciatura;10;;
