Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros
Instituto Superior de Novas Profissões;4150;Instituto Superior de Novas Profissões;4150;Privado;Politecnico;Relações Públicas e Publicidade;9232;Licenciatura;13;36;12;24;35;1
Instituto Superior de Novas Profissões;4150;Instituto Superior de Novas Profissões;4150;Privado;Politecnico;Turismo (Informação Turística e Eventos);L081;Licenciatura;;67;26;41;57;10
Instituto Português de Administração de Marketing do Porto;4155;Instituto Português de Administração de Marketing do Porto;4155;Privado;Politecnico;Gestão de Marketing;9156;Licenciatura;14;696;418;278;677;19
Instituto Português de Administração de Marketing de Lisboa;4156;Instituto Português de Administração de Marketing de Lisboa;4156;Privado;Politecnico;Gestão de Marketing;9156;Licenciatura;14;239;138;101;204;35
Instituto Superior de Administração e Gestão;4200;Instituto Superior de Administração e Gestão;4200;Privado;Politecnico;Relações Empresariais;8387;Licenciatura;;30;13;17;30;0
Instituto Superior de Administração e Gestão;4200;Instituto Superior de Administração e Gestão;4200;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;12,9;206;122;84;203;3
Instituto Superior de Administração e Gestão;4200;Instituto Superior de Administração e Gestão;4200;Privado;Politecnico;Gestão Hoteleira;9173;Licenciatura;13,5;228;104;124;227;1
Instituto Superior de Administração e Gestão;4200;Instituto Superior de Administração e Gestão;4200;Privado;Politecnico;Turismo;9254;Licenciatura;12,8;88;39;49;87;1
Instituto Superior de Administração e Línguas;4220;Instituto Superior de Administração e Línguas;4220;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;13,6;87;53;34;85;2
Instituto Superior de Administração e Línguas;4220;Instituto Superior de Administração e Línguas;4220;Privado;Politecnico;Turismo;9254;Licenciatura;13,9;65;25;40;62;3
Instituto Superior de Administração e Línguas;4220;Instituto Superior de Administração e Línguas;4220;Privado;Politecnico;Organização e Gestão Hoteleira;9649;Licenciatura;;27;10;17;26;1
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Ciências Forenses e Criminais;8059;Licenciatura;13,9;127;31;96;123;4
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Psicologia;9219;Licenciatura;;56;7;49;56;0
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;13,1;249;61;188;238;11
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Medicina Dentária;9548;MestradoIntegrado;13,8;779;221;558;661;118
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Ciências da Nutrição;9554;Licenciatura;13,4;109;15;94;108;1
Instituto Superior de Ciências da Saúde Egas Moniz;4260;Instituto Superior de Ciências da Saúde Egas Moniz;4260;Privado;Universitario;Ciências da Saúde;9822;Licenciatura;13,1;66;19;47;56;10
Instituto Universitário de Ciências da Saúde;4261;Instituto Universitário de Ciências da Saúde;4261;Privado;Universitario;Bioquímica;9015;Licenciatura;;11;1;10;9;2
Instituto Universitário de Ciências da Saúde;4261;Instituto Universitário de Ciências da Saúde;4261;Privado;Universitario;Psicologia;9219;Licenciatura;13,8;57;11;46;57;0
Instituto Universitário de Ciências da Saúde;4261;Instituto Universitário de Ciências da Saúde;4261;Privado;Universitario;Ciências Biomédicas;9351;Licenciatura;12,8;125;31;94;120;5
