;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Armamar; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 11; 0; 0; 1; 0; 23; 5; 0; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 8; 3; 7; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 21; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 17; 15
Arouca; 1; 2; 0; 0; 0; 78; 2; 0; 0; 11; 4; 1; 1; 4; 0; 73; 8; 0; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 1; 6; 15; 0; 0; 3; 0; 16; 0; 0; 0; 0; 11; 1; 4; 0; 0; 0; 0; 0; 203; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 3; 0; 0; 30; 16; 18
Arraiolos; 0; 0; 9; 0; 0; 0; 0; 0; 6; 0; 1; 0; 0; 3; 0; 2; 0; 0; 0; 105; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 39; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 1; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arronches; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 4; 0; 7; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 32; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arruda dos Vinhos; 0; 0; 23; 1; 0; 3; 0; 0; 1; 0; 0; 2; 9; 1; 0; 3; 2; 1; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 297; 0; 0; 0; 0; 0; 0; 1; 2; 14; 0; 0; 1; 3; 0; 0; 1; 0; 0; 0; 3; 0; 12; 0; 0; 2; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0
Aveiro; 2; 154; 9; 4; 0;2 114; 4; 0; 1; 47; 11; 2; 6; 10; 0; 609; 34; 0; 0; 15; 0; 11; 0; 0; 26; 0; 0; 0; 3; 16; 240; 0; 0; 20; 0; 13; 1; 1; 1; 14; 28; 2; 19; 1; 1; 1; 4; 0; 380; 0; 2; 12; 1; 0; 10; 1; 0; 0; 7; 0; 0; 0; 3; 2; 0; 3; 28; 28; 64
Avis; 0; 0; 1; 0; 0; 2; 0; 0; 2; 0; 0; 2; 2; 3; 0; 3; 1; 1; 0; 23; 0; 4; 0; 0; 0; 0; 0; 1; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 21; 0; 1; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Azambuja; 0; 1; 19; 0; 1; 0; 0; 0; 0; 0; 0; 4; 5; 5; 0; 4; 2; 1; 0; 10; 0; 4; 0; 0; 1; 0; 0; 0; 0; 9; 221; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 11; 0; 0; 1; 1; 3; 0; 7; 0; 73; 0; 0; 4; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0
Baião; 1; 0; 0; 0; 0; 12; 2; 0; 0; 9; 29; 1; 0; 2; 0; 34; 13; 0; 0; 0; 0; 0; 14; 0; 2; 0; 0; 1; 12; 2; 9; 0; 0; 18; 0; 13; 0; 5; 0; 0; 0; 1; 5; 0; 0; 3; 0; 1; 139; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 4; 0; 0; 18; 52; 6
Barcelos; 0; 3; 9; 0; 0; 105; 857; 0; 1; 972; 44; 8; 1; 8; 0; 246; 83; 0; 0; 10; 0; 12; 5; 0; 21; 0; 0; 1; 1; 17; 110; 0; 0; 45; 0; 30; 16; 6; 0; 1; 1; 0; 25; 2; 0; 51; 3; 0; 701; 3; 0; 0; 3; 0; 6; 1; 0; 1; 3; 0; 0; 16; 274; 22; 3; 103; 44; 197; 18
Barrancos; 0; 0; 3; 0; 0; 0; 0; 0; 4; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Barreiro; 1; 1; 203; 6; 0; 3; 0; 73; 11; 3; 1; 3; 15; 0; 0; 7; 3; 0; 0; 24; 0; 8; 0; 0; 1; 0; 0; 1; 0; 4;1 466; 0; 0; 1; 0; 0; 0; 0; 3; 54; 0; 1; 0; 2; 0; 0; 3; 1; 7; 0; 7; 0; 1; 0; 0; 406; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 4
Batalha; 0; 1; 12; 0; 0; 11; 0; 0; 2; 1; 0; 7; 1; 8; 0; 64; 17; 0; 0; 6; 0; 10; 0; 0; 0; 0; 0; 0; 0; 208; 136; 0; 0; 0; 1; 0; 0; 0; 0; 7; 0; 0; 1; 9; 0; 0; 0; 1; 9; 0; 0; 0; 4; 0; 2; 1; 0; 2; 7; 0; 0; 0; 0; 1; 0; 0; 1; 2; 1
Beja; 0; 0; 50; 1; 0; 2; 0; 1; 642; 0; 1; 2; 3; 3; 0; 30; 4; 2; 0; 107; 0; 68; 0; 0; 3; 0; 0; 0; 0; 2; 347; 0; 0; 0; 0; 0; 0; 0; 0; 18; 0; 0; 0; 0; 0; 0; 7; 3; 9; 0; 1; 0; 1; 0; 0; 9; 1; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 1; 2
Belmonte; 0; 0; 3; 0; 0; 1; 0; 0; 0; 2; 0; 1; 0; 15; 0; 16; 71; 0; 0; 0; 0; 1; 0; 0; 25; 0; 0; 3; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 3; 0; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3
Benavente; 1; 0; 48; 1; 2; 5; 0; 0; 1; 1; 0; 1; 8; 4; 0; 16; 7; 3; 0; 24; 0; 4; 0; 0; 1; 0; 0; 0; 0; 8; 356; 0; 0; 0; 0; 0; 0; 0; 1; 15; 0; 0; 0; 2; 2; 0; 4; 1; 1; 0; 5; 0; 52; 0; 0; 13; 0; 0; 3; 1; 0; 0; 0; 0; 0; 0; 0; 1; 2
Bombarral; 0; 2; 14; 1; 0; 15; 1; 0; 1; 3; 0; 14; 2; 1; 0; 19; 2; 0; 0; 2; 0; 4; 0; 0; 0; 0; 0; 0; 0; 60; 126; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 6; 1; 0; 1; 0; 3; 0; 4; 0; 9; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 1; 2; 6
Borba; 0; 0; 15; 0; 0; 1; 0; 0; 6; 1; 0; 0; 0; 5; 0; 4; 3; 5; 0; 46; 0; 12; 0; 0; 2; 0; 0; 2; 0; 0; 62; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 20; 1; 3; 0; 0; 0; 1; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Boticas; 0; 1; 0; 0; 0; 3; 0; 0; 0; 6; 23; 0; 0; 0; 2; 15; 4; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 2; 2; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 23; 1
Braga; 2; 3; 10; 2; 0; 71; 872; 0; 1;5 778; 46; 9; 3; 13; 0; 518; 67; 0; 0; 14; 22; 16; 12; 1; 16; 3; 0; 1; 0; 10; 338; 0; 0; 66; 0; 38; 21; 5; 1; 11; 2; 2; 49; 6; 4; 62; 4; 0; 864; 35; 0; 1; 0; 0; 3; 2; 0; 2; 5; 0; 0; 12; 186; 20; 1; 175; 39; 107; 13
