de residência";;;16I1401;16D0101;1701503;1701115;2004301;16D0105;1120302;1701504;1840205;1120303;11E0402;16B1006;1701105;16H0502;11B1703;16E0603;16J0503;1861207;11A0107;1870705;1190307;1500805;11C1303;3003103;16J0907;1190308;2004701;16H0505;11D1805;16F1009;1701106;1500808;11E0405;11A1306;16F1010;11A1308;1111603;11E0407;1701116;1701110;11A0113;16E0611;11A1310;16B1014;2004203;1111607;1861214;1500811;11A1312;1190309;1851414;11A0109;1851416;1811509;16J0912;1701512;1500813;1701111;16I1418;16I1419;16B1113;1111608;1111609;11A1316;1111610;1190312;11A1317;11D1714;16G1823
;;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
;Portugal;350 133; 390; 868;10 032; 440; 645;12 392;3 161; 503;2 549;17 927;4 926;1 280;2 340;3 436; 268;33 584;6 480; 271; 61;5 802; 334;7 450;1 373;3 069;2 310; 57; 23; 414; 456;8 106;106 811; 174; 26;4 214; 121;4 710; 144; 840; 668;4 873; 446; 290;1 688;1 048;2 441; 563;1 509; 789;56 252; 182; 721; 457;2 641; 52; 270;5 138; 194; 163;1 940; 96; 106; 323;3 114;1 455; 81;1 349;1 240;6 711;5 346
1111601;Arcos de Valdevez; 452; 0; 0; 1; 0; 0; 8; 11; 0; 0; 144; 16; 0; 0; 1; 0; 26; 3; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 3; 18; 0; 0; 4; 0; 2; 0; 0; 0; 0; 0; 0; 4; 0; 1; 17; 0; 0; 72; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 99; 1; 2; 2; 0; 5; 1
16E0601;Arganil; 273; 0; 1; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 189; 5; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 1; 7; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 16; 2; 1; 0; 0; 0; 0; 7; 0; 1; 0; 0; 0; 2; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 10
11D1801;Armamar; 134; 0; 1; 0; 0; 0; 6; 2; 0; 0; 0; 9; 0; 0; 2; 2; 25; 4; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 13; 2; 4; 0; 0; 1; 0; 2; 0; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 0; 16; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 19; 19
11A0104;Arouca; 550; 1; 1; 0; 0; 0; 72; 2; 0; 0; 16; 7; 1; 1; 2; 0; 74; 9; 0; 0; 0; 0; 0; 2; 0; 2; 0; 0; 0; 0; 4; 15; 0; 0; 4; 0; 26; 0; 0; 0; 0; 8; 2; 4; 1; 0; 0; 0; 0; 231; 0; 0; 15; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 4; 2; 0; 0; 6; 12; 23
1870702;Arraiolos; 175; 0; 0; 9; 0; 0; 0; 0; 0; 7; 0; 2; 0; 0; 2; 0; 3; 1; 0; 0; 106; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 2; 0; 1; 0; 1; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1861202;Arronches; 67; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 1; 0; 1; 0; 10; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 38; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16B1102;Arruda dos Vinhos; 397; 0; 0; 24; 0; 0; 3; 0; 0; 1; 0; 0; 3; 9; 2; 0; 6; 2; 1; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 300; 0; 0; 0; 0; 0; 0; 0; 3; 11; 0; 0; 1; 3; 0; 0; 3; 0; 2; 0; 2; 0; 11; 0; 0; 3; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16D0105;Aveiro;4 037; 3; 152; 8; 5; 0;2 290; 2; 0; 1; 58; 15; 4; 7; 8; 0; 460; 42; 0; 0; 18; 0; 9; 0; 0; 27; 1; 0; 0; 3; 17; 239; 0; 0; 27; 0; 18; 0; 0; 1; 14; 26; 2; 12; 2; 0; 0; 3; 0; 407; 2; 2; 17; 1; 0; 9; 1; 0; 0; 12; 0; 0; 0; 1; 2; 0; 5; 6; 29; 69
1861203;Avis; 93; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 0; 2; 0; 3; 0; 5; 1; 2; 0; 29; 0; 3; 0; 0; 0; 0; 0; 1; 0; 0; 16; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 22; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1851103;Azambuja; 418; 0; 1; 12; 1; 1; 1; 0; 0; 1; 0; 0; 5; 6; 5; 0; 6; 5; 1; 0; 11; 0; 5; 0; 0; 1; 0; 0; 0; 0; 16; 237; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 10; 0; 0; 1; 1; 2; 0; 8; 0; 63; 0; 0; 2; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
11C1302;Baião; 432; 1; 0; 0; 0; 0; 25; 1; 0; 0; 6; 29; 2; 0; 2; 0; 28; 14; 0; 0; 0; 0; 0; 8; 0; 3; 0; 0; 2; 7; 2; 10; 0; 0; 18; 0; 20; 0; 4; 0; 0; 0; 1; 7; 0; 0; 3; 0; 0; 149; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 4; 0; 2; 4; 68; 9
1120302;Barcelos;4 268; 0; 2; 7; 0; 2; 110; 830; 0; 0; 981; 57; 6; 1; 6; 2; 427; 72; 0; 0; 9; 1; 9; 5; 0; 22; 0; 0; 0; 2; 19; 113; 0; 0; 47; 0; 33; 14; 2; 0; 1; 1; 0; 39; 2; 0; 58; 5; 0; 735; 2; 0; 0; 3; 0; 4; 0; 0; 1; 5; 0; 0; 15; 268; 35; 3; 95; 5; 191; 21
1840204;Barrancos; 17; 0; 0; 2; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 4; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
