,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Ansião,0.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,10.00,0.00,191.00,11.00,0.00,0.00,3.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,53.00,19.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Arcos de Valdevez,0.00,0.00,3.00,0.00,0.00,8.00,11.00,0.00,0.00,141.00,8.00,0.00,0.00,3.00,0.00,25.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,12.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,26.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,81.00,0.00,1.00,0.00,0.00,6.00,1.00
Arganil,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,5.00,15.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,8.00
Armamar,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,9.00,0.00,0.00,2.00,0.00,27.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,6.00,1.00,5.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,20.00,14.00
Arouca,1.00,6.00,0.00,0.00,0.00,85.00,3.00,0.00,0.00,14.00,4.00,1.00,1.00,4.00,0.00,75.00,10.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,5.00,13.00,0.00,4.00,0.00,13.00,0.00,0.00,0.00,0.00,12.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,195.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,24.00,21.00,17.00
Arraiolos,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,2.00,0.00,2.00,1.00,0.00,0.00,101.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arronches,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,4.00,0.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arruda dos Vinhos,0.00,0.00,21.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,8.00,1.00,0.00,3.00,1.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,315.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,8.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,16.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Aveiro,1.00,168.00,7.00,3.00,0.00,1946.00,5.00,0.00,1.00,41.00,13.00,3.00,3.00,14.00,0.00,565.00,37.00,0.00,0.00,10.00,1.00,8.00,0.00,0.00,32.00,0.00,0.00,0.00,2.00,13.00,246.00,0.00,12.00,0.00,10.00,1.00,2.00,2.00,13.00,28.00,1.00,15.00,0.00,2.00,1.00,0.00,4.00,0.00,430.00,0.00,4.00,14.00,2.00,0.00,6.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,29.00,29.00,61.00
Avis,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,4.00,0.00,3.00,1.00,1.00,0.00,20.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azambuja,1.00,0.00,21.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,5.00,5.00,0.00,3.00,5.00,1.00,0.00,15.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,2.00,0.00,2.00,0.00,10.00,0.00,81.00,0.00,0.00,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
