,,,,,,,,,
,ACESSO AO ENSINO SUPERIOR 2017 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
,Resultados,,,,,,,,
,,,,,,,,,
,Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
,0501,9508,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,35,24,109.0,11
,0501,9891,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,L1,60,62,156.5,0
,0502,8067,Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,L1,41,45,151.0,0
,0502,9078,Universidade de Coimbra - Faculdade de Direito,Direito,L1,334,335,146.8,0
,0503,9081,Universidade de Coimbra - Faculdade de Economia,Economia,L1,154,154,148.0,0
,0503,9147,Universidade de Coimbra - Faculdade de Economia,Gestão,L1,89,89,157.5,0
,0503,9229,Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,L1,41,41,158.5,0
,0503,9240,Universidade de Coimbra - Faculdade de Economia,Sociologia,L1,41,41,135.0,0
,0504,9494,Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,MI,186,186,146.3,0
,0504,9819,Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,L1,36,36,125.0,0
,0504,9832,Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,L1,37,37,130.3,0
,0505,8393,Universidade de Coimbra - Faculdade de Letras,Português,L1,36,35,100.0,1
,0505,9006,Universidade de Coimbra - Faculdade de Letras,Arqueologia,L1,25,25,116.0,0
,0505,9132,Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,L1,35,36,133.5,0
,0505,9133,Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,L1,20,20,109.0,0
,0505,9135,Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,L1,33,33,143.0,0
,0505,9139,Universidade de Coimbra - Faculdade de Letras,Filosofia,L1,28,32,111.5,0
,0505,9143,Universidade de Coimbra - Faculdade de Letras,Geografia,L1,56,60,113.5,0
,0505,9181,Universidade de Coimbra - Faculdade de Letras,História,L1,63,63,125.5,0
,0505,9182,Universidade de Coimbra - Faculdade de Letras,História da Arte,L1,24,25,118.0,0
,0505,9694,Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,L1,27,28,128.2,0
,0505,9773,Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,L1,50,51,150.5,0
,0505,9779,Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,L1,87,88,140.0,0
,0505,L109,Universidade de Coimbra - Faculdade de Letras,"Turismo, Território e Patrimónios",L1,40,42,139.0,0
,0506,9548,Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,MI,42,42,175.0,0
,0506,9813,Universidade de Coimbra - Faculdade de Medicina,Medicina,MI,255,255,179.0,0
,0507,9026,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,70,70,127.5,0
,0507,9238,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,L1,32,33,136.5,0
,0507,9555,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,MI,130,131,152.6,0
,0508,8368,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto (regime pós-laboral),L1,25,25,122.7,0
,0508,9707,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,L1,95,95,130.1,0
,0602,8258,Universidade de Évora - Escola de Ciências e Tecnologia,Arquitetura Paisagista,L1,20,2,116.8,18
