,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Arcos de Valdevez,0.00,2.00,3.00,1.00,1.00,0.00,8.00,7.00,0.00,0.00,127.00,12.00,2.00,1.00,4.00,0.00,36.00,6.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,1.00,3.00,32.00,3.00,0.00,16.00,5.00,3.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,15.00,1.00,0.00,92.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,6.00,118.00,0.00,0.00,1.00,1.00,12.00,1.00
Arganil,0.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,162.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,3.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,14.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,9.00
Armamar,0.00,0.00,2.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,3.00,0.00,29.00,6.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,13.00,1.00,5.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,31.00,20.00
Arouca,0.00,0.00,1.00,0.00,0.00,0.00,66.00,2.00,0.00,0.00,4.00,4.00,0.00,1.00,0.00,0.00,77.00,13.00,0.00,1.00,0.00,0.00,2.00,0.00,4.00,0.00,0.00,5.00,2.00,11.00,9.00,0.00,22.00,1.00,0.00,0.00,0.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,207.00,0.00,26.00,0.00,2.00,0.00,0.00,0.00,2.00,1.00,0.00,20.00,0.00,0.00,13.00,15.00,26.00
Arraiolos,0.00,0.00,3.00,1.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,4.00,0.00,4.00,5.00,2.00,99.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arronches,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,9.00,12.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arruda dos Vinhos,0.00,0.00,30.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,12.00,2.00,0.00,3.00,2.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,397.00,0.00,0.00,1.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,3.00,0.00,3.00,7.00,0.00,29.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aveiro,4.00,165.00,8.00,4.00,0.00,0.00,2219.00,2.00,1.00,0.00,34.00,21.00,9.00,18.00,21.00,0.00,622.00,66.00,0.00,7.00,1.00,7.00,4.00,0.00,28.00,0.00,0.00,9.00,23.00,279.00,17.00,1.00,13.00,1.00,4.00,0.00,18.00,37.00,7.00,11.00,0.00,5.00,3.00,2.00,2.00,0.00,440.00,8.00,8.00,3.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,4.00,0.00,0.00,31.00,28.00,65.00
Avis,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,5.00,0.00,5.00,0.00,1.00,20.00,0.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azambuja,5.00,0.00,23.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,5.00,4.00,3.00,0.00,11.00,7.00,1.00,10.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,18.00,293.00,3.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,12.00,1.00,0.00,3.00,0.00,0.00,12.00,0.00,102.00,0.00,2.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
