;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Arouca; 0; 1; 1; 0; 0; 0; 74; 2; 0; 0; 6; 3; 2; 0; 1; 0; 85; 11; 0; 0; 0; 0; 0; 0; 4; 0; 0; 4; 2; 17; 7; 0; 22; 1; 0; 0; 0; 18; 0; 2; 1; 1; 0; 0; 1; 0; 199; 0; 27; 0; 1; 0; 0; 0; 3; 0; 0; 0; 2; 0; 0; 18; 11; 26
Arraiolos; 0; 0; 0; 1; 0; 0; 2; 0; 0; 6; 0; 1; 0; 0; 4; 0; 5; 4; 3; 87; 0; 4; 0; 0; 0; 0; 1; 0; 1; 53; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 3; 0; 0; 1; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arronches; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 3; 10; 11; 0; 1; 0; 0; 1; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 39; 0; 0; 1; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arruda dos Vinhos; 0; 0; 30; 0; 0; 0; 1; 0; 0; 0; 0; 0; 6; 6; 2; 0; 3; 2; 1; 4; 0; 2; 0; 0; 0; 0; 0; 0; 5; 386; 0; 0; 0; 0; 1; 3; 4; 0; 0; 0; 0; 5; 0; 0; 2; 0; 1; 2; 0; 21; 1; 6; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0
Aveiro; 2; 164; 8; 3; 0; 1;2 013; 4; 1; 0; 31; 17; 9; 2; 23; 0; 575; 62; 0; 8; 0; 9; 3; 0; 35; 0; 1; 8; 22; 276; 15; 0; 10; 1; 2; 0; 26; 32; 3; 11; 0; 6; 3; 1; 3; 0; 401; 4; 12; 0; 4; 0; 0; 0; 3; 0; 0; 1; 1; 0; 0; 39; 24; 56
Avis; 0; 0; 1; 0; 0; 0; 1; 0; 0; 5; 0; 0; 0; 0; 5; 0; 6; 3; 1; 17; 0; 2; 0; 0; 0; 0; 1; 0; 2; 13; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 9; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Azambuja; 4; 0; 25; 0; 0; 0; 3; 0; 0; 1; 0; 0; 6; 2; 3; 0; 9; 9; 0; 11; 0; 4; 0; 0; 1; 0; 0; 0; 16; 281; 1; 0; 0; 0; 0; 1; 5; 0; 0; 0; 0; 10; 1; 0; 3; 1; 1; 8; 0; 65; 0; 2; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 1; 0
Baião; 0; 1; 1; 0; 0; 0; 3; 1; 0; 0; 16; 37; 0; 1; 2; 0; 40; 10; 0; 0; 1; 1; 8; 1; 1; 0; 0; 17; 1; 8; 12; 0; 20; 0; 4; 0; 1; 0; 0; 7; 1; 0; 0; 0; 0; 0; 134; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 8; 60; 9
Barcelos; 2; 7; 5; 0; 1; 0; 113; 814; 0; 1;1 082; 52; 4; 2; 10; 0; 255; 78; 1; 11; 1; 5; 17; 0; 9; 0; 1; 2; 18; 108; 54; 0; 43; 15; 18; 0; 2; 0; 1; 14; 0; 1; 0; 33; 1; 0; 679; 0; 0; 0; 2; 0; 0; 0; 3; 0; 44; 299; 11; 2; 87; 42; 175; 24
Barrancos; 0; 0; 2; 0; 0; 0; 0; 0; 0; 6; 1; 0; 0; 0; 0; 0; 0; 1; 0; 7; 0; 1; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Barreiro; 1; 0; 190; 2; 0; 0; 3; 1; 65; 7; 2; 3; 7; 17; 4; 0; 9; 3; 1; 28; 0; 14; 1; 0; 4; 0; 0; 0; 2;1 360; 1; 0; 1; 1; 0; 1; 32; 0; 4; 0; 0; 1; 1; 0; 8; 4; 6; 2; 0; 6; 0; 438; 0; 1; 5; 0; 0; 0; 0; 0; 0; 1; 1; 2
Batalha; 4; 2; 17; 1; 0; 0; 13; 0; 0; 1; 4; 1; 12; 1; 4; 0; 60; 8; 1; 6; 0; 5; 0; 0; 2; 0; 0; 1; 225; 150; 1; 3; 1; 0; 0; 0; 9; 0; 0; 0; 0; 13; 0; 0; 4; 0; 17; 4; 0; 2; 1; 1; 0; 0; 7; 0; 0; 0; 0; 0; 0; 1; 3; 2
Beja; 0; 0; 56; 0; 0; 0; 2; 0; 0; 638; 3; 0; 2; 3; 2; 0; 24; 5; 3; 93; 0; 54; 0; 1; 1; 0; 0; 0; 5; 379; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 1; 1; 1; 3; 1; 7; 2; 0; 1; 0; 12; 3; 0; 3; 0; 0; 0; 1; 0; 0; 1; 2; 0
Belmonte; 0; 0; 1; 0; 0; 0; 6; 0; 0; 0; 0; 2; 1; 1; 31; 0; 9; 67; 0; 4; 0; 1; 0; 0; 18; 0; 5; 1; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 2
Benavente; 1; 0; 31; 2; 0; 0; 6; 0; 0; 1; 1; 2; 11; 8; 6; 1; 17; 8; 0; 18; 0; 9; 0; 0; 4; 0; 2; 0; 13; 394; 0; 0; 0; 0; 0; 2; 11; 0; 0; 0; 0; 5; 0; 0; 6; 2; 1; 6; 0; 41; 0; 15; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 1; 2
Bombarral; 1; 0; 10; 0; 0; 0; 8; 0; 0; 1; 2; 0; 15; 1; 2; 0; 22; 3; 0; 5; 0; 4; 0; 0; 1; 0; 0; 0; 46; 132; 0; 2; 0; 0; 0; 0; 5; 0; 0; 0; 0; 24; 0; 0; 1; 2; 7; 4; 0; 8; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1
Borba; 0; 0; 5; 0; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 6; 0; 3; 2; 8; 36; 0; 6; 0; 0; 2; 0; 1; 0; 0; 56; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 21; 1; 2; 1; 0; 2; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
