;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Câmara de Lobos; 465;1;0;2;0;0;8;0;0;1;8;0;1;0;9;37;4;3;7;7;1;238;2;0;0;7;72;3;0;1;1;0;1;2;3;0;0;0;27;3;0;1;2;0;0;0;0;4;7;2
Caminha; 277;1;1;1;2;0;12;12;0;0;26;6;0;0;0;20;7;0;0;1;2;0;3;1;0;4;20;8;11;3;2;0;0;0;2;4;0;0;39;0;0;1;1;0;12;59;1;3;10;2
Campo Maior; 163;1;0;1;0;0;0;0;0;5;0;0;0;1;12;7;7;9;26;5;0;0;4;0;0;4;42;0;0;0;1;0;0;0;0;0;28;0;0;0;1;1;8;0;0;0;0;0;0;0
Cantanhede; 593;0;3;0;0;0;35;0;0;0;3;0;5;3;7;391;5;0;3;0;1;0;12;0;0;27;33;1;0;1;0;2;5;8;1;0;2;0;14;0;1;4;0;5;0;1;1;2;5;12
Carrazeda de Ansiães; 85;0;1;0;0;0;3;0;0;0;0;19;0;0;3;5;3;0;1;0;1;0;1;0;0;0;4;1;0;12;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;16;3
Carregal do Sal; 155;0;0;0;0;0;12;0;0;1;4;0;0;2;0;43;11;0;0;1;0;0;5;0;4;2;8;1;0;2;0;0;3;0;0;0;2;1;5;0;0;1;0;0;0;0;0;1;4;42
Cartaxo; 371;0;0;1;3;0;5;0;0;1;0;1;10;8;5;12;4;1;16;4;0;0;0;2;1;16;136;0;0;0;6;0;0;12;1;0;4;2;3;11;93;0;0;8;0;0;0;0;3;2
Cascais;3 228;2;0;48;21;1;8;1;2;9;6;4;19;397;7;23;7;1;29;24;0;1;0;2;1;12;2 206;2;0;2;298;0;0;11;2;1;9;0;8;4;11;0;28;15;0;2;0;0;2;2
Castanheira de Pêra; 30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;1;0;0;1;0;0;7;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0
Castelo Branco;1 263;1;0;6;0;0;16;0;0;1;4;1;0;11;625;95;141;1;13;9;0;1;10;59;1;22;194;0;0;0;7;0;3;4;0;0;8;1;12;2;1;1;2;2;0;0;0;0;4;5
Castelo de Paiva; 199;1;0;0;1;0;34;0;0;0;1;9;0;0;3;22;1;0;1;0;3;0;2;0;1;2;6;13;0;1;0;3;1;0;0;0;0;0;53;0;0;0;0;0;0;0;1;12;15;13
Castelo de Vide; 52;0;0;0;0;0;1;0;0;1;0;0;1;0;0;3;2;1;7;1;0;0;0;2;0;0;11;0;0;0;0;0;0;0;0;0;17;0;1;0;1;0;1;1;0;0;0;0;1;0
Castro Daire; 224;0;0;0;0;1;9;0;0;1;3;4;2;0;9;43;5;0;1;1;0;0;11;0;6;4;13;2;0;3;0;0;0;0;0;0;0;0;2;3;0;3;1;0;0;0;0;3;12;82
Castro Marim; 97;0;0;0;0;0;0;0;0;6;0;0;2;1;0;3;2;1;5;45;0;0;1;0;0;0;22;0;0;2;2;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0
Castro Verde; 111;0;0;2;0;0;0;0;0;28;0;0;0;0;1;4;2;0;4;22;0;0;0;0;0;0;44;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
Celorico da Beira; 89;0;0;0;0;0;3;1;0;0;0;1;0;4;3;19;8;0;0;1;0;0;24;0;1;1;9;0;0;0;0;0;0;1;0;0;1;0;1;0;0;4;0;0;0;0;0;1;2;4
Celorico de Basto; 338;0;0;0;0;0;6;4;0;0;22;47;0;0;1;25;0;0;1;0;7;0;3;0;2;0;9;9;0;7;0;1;2;0;0;1;0;0;24;0;0;0;1;0;1;1;1;8;154;1
Chamusca; 126;1;0;0;0;0;5;0;0;1;0;0;1;1;6;18;2;1;17;0;0;0;0;0;0;12;29;0;0;0;0;0;0;7;0;0;3;0;0;2;15;0;0;3;0;0;0;0;1;1
Chaves; 547;1;0;0;0;0;25;0;0;1;37;86;1;1;2;66;14;0;3;1;3;0;4;1;2;4;27;6;2;41;2;0;3;2;0;0;0;0;99;1;1;1;0;1;1;1;4;13;83;7
Cinfães; 172;0;1;0;0;0;5;0;0;0;5;9;0;0;3;19;3;0;1;0;2;0;3;0;4;2;6;7;0;1;0;0;1;0;0;0;1;0;46;0;1;1;0;0;0;0;0;13;8;30
Coimbra;4 076;1;1;2;2;0;25;0;0;2;7;10;14;47;9;3 608;14;0;13;11;0;0;8;3;3;17;165;2;0;0;11;1;20;4;1;1;4;0;35;3;4;1;2;5;0;0;6;1;5;8
Condeixa-a-Nova; 437;0;0;0;0;0;5;0;0;0;0;0;3;1;6;374;0;0;2;0;0;0;0;1;1;10;13;0;0;0;2;0;4;2;0;0;1;0;6;0;1;0;0;2;0;0;0;1;1;1
Constância; 80;0;0;1;0;0;0;0;0;1;0;0;1;0;5;11;9;1;3;0;0;0;1;0;0;5;21;0;0;0;1;0;0;3;0;0;0;0;0;0;4;0;0;12;0;0;0;0;0;1
Coruche; 252;1;0;0;0;0;1;0;0;1;0;1;2;2;2;19;2;0;29;5;0;0;0;1;0;7;112;0;0;1;4;0;0;0;0;0;5;2;0;1;45;1;5;1;0;1;0;0;0;1
Corvo; 8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
