,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Macedo de Cavaleiros,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Arcos de Valdevez,0.00,0.00,2.00,0.00,0.00,9.00,12.00,0.00,0.00,146.00,10.00,0.00,0.00,2.00,0.00,22.00,3.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,15.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,21.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,75.00,0.00,2.00,0.00,1.00,6.00,1.00
Arganil,0.00,0.00,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,6.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,14.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,10.00
Armamar,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,1.00,0.00,23.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00,3.00,7.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,15.00
Arouca,1.00,2.00,0.00,0.00,0.00,78.00,2.00,0.00,0.00,11.00,4.00,1.00,1.00,4.00,0.00,73.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,6.00,15.00,0.00,0.00,3.00,0.00,16.00,0.00,0.00,0.00,0.00,11.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,203.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00,30.00,16.00,18.00
Arraiolos,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,105.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arronches,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00,0.00,7.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arruda dos Vinhos,0.00,0.00,23.00,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,2.00,9.00,1.00,0.00,3.00,2.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,14.00,0.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,12.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aveiro,2.00,154.00,9.00,4.00,0.00,2114.00,4.00,0.00,1.00,47.00,11.00,2.00,6.00,10.00,0.00,609.00,34.00,0.00,0.00,15.00,0.00,11.00,0.00,0.00,26.00,0.00,0.00,0.00,3.00,16.00,240.00,0.00,0.00,20.00,0.00,13.00,1.00,1.00,1.00,14.00,28.00,2.00,19.00,1.00,1.00,1.00,4.00,0.00,380.00,0.00,2.00,12.00,1.00,0.00,10.00,1.00,0.00,0.00,7.00,0.00,0.00,0.00,3.00,2.00,0.00,3.00,28.00,28.00,64.00
Avis,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,2.00,3.00,0.00,3.00,1.00,1.00,0.00,23.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azambuja,0.00,1.00,19.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,5.00,0.00,4.00,2.00,1.00,0.00,10.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,11.00,0.00,0.00,1.00,1.00,3.00,0.00,7.00,0.00,73.00,0.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
