,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Ansião,0.00,0.00,2.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,2.00,0.00,3.00,1.00,11.00,0.00,197.00,8.00,0.00,4.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,2.00
Arcos de Valdevez,0.00,2.00,4.00,1.00,1.00,0.00,7.00,8.00,0.00,0.00,128.00,8.00,2.00,0.00,3.00,0.00,29.00,5.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,1.00,4.00,34.00,1.00,0.00,19.00,4.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,13.00,0.00,0.00,80.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,8.00,113.00,0.00,0.00,1.00,6.00,9.00,2.00
Arganil,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,171.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,15.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,2.00,8.00
Armamar,0.00,0.00,2.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,4.00,0.00,24.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,4.00,0.00,0.00,8.00,1.00,7.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,29.00,24.00
Arouca,0.00,1.00,1.00,0.00,0.00,0.00,74.00,2.00,0.00,0.00,6.00,3.00,2.00,0.00,1.00,0.00,85.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,2.00,17.00,7.00,0.00,22.00,1.00,0.00,0.00,0.00,18.00,0.00,2.00,1.00,1.00,0.00,0.00,1.00,0.00,199.00,0.00,27.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,18.00,11.00,26.00
Arraiolos,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,4.00,0.00,5.00,4.00,3.00,87.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,3.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arronches,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,10.00,11.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arruda dos Vinhos,0.00,0.00,30.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,2.00,0.00,3.00,2.00,1.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,386.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,1.00,2.00,0.00,21.00,1.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aveiro,2.00,164.00,8.00,3.00,0.00,1.00,2013.00,4.00,1.00,0.00,31.00,17.00,9.00,2.00,23.00,0.00,575.00,62.00,0.00,8.00,0.00,9.00,3.00,0.00,35.00,0.00,1.00,8.00,22.00,276.00,15.00,0.00,10.00,1.00,2.00,0.00,26.00,32.00,3.00,11.00,0.00,6.00,3.00,1.00,3.00,0.00,401.00,4.00,12.00,0.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,39.00,24.00,56.00
Avis,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,6.00,3.00,1.00,17.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
